      Tomato  Strawberry    Potato  Pomegranate      Plum      Pear     Peach    Orange     Lemon  LadyFinger  Cucumber      Corn  ChilliGreen    Cherry    Carrot  CapsicumGreen  Broccoli   Brinjal     Apple    Banana
0   0.341002    0.315255  0.375852     0.292136  0.226278  0.804610  0.394865  0.309855  0.370026    0.237663  0.507296  0.162051     0.491359  0.250759  0.440752       0.580714  0.348162  0.383197  0.525455  0.534317
1   0.537191    0.458828  0.452231     0.318448  0.311758  0.498060  0.416896  0.806128  0.385563    0.552115  0.500968  0.252959     0.410454  0.264638  0.461590       0.356402  0.362346  0.416804  0.444392  0.520542
2   0.386674    0.406583  0.563667     0.379463  0.572559  0.469921  0.362688  0.276406  0.383648    0.456395  0.460107  0.364422     0.535779  0.274900  0.552798       0.535719  0.250374  0.461672  0.504270  0.666670
3   0.335456    0.443824  0.618811     0.360106  0.405951  0.306371  0.328475  0.465907  0.414677    0.951618  0.457385  0.420880     0.565803  0.302666  0.620328       0.502862  0.269386  0.312841  0.373471  0.384275
4   0.372083    0.387127  0.599096     0.349777  0.505208  0.452595  0.428940  0.441945  0.455679    0.711824  0.399981  0.255603     0.297288  0.290908  0.653533       0.509162  0.321159  0.353953  0.288864  0.592705
5   0.482665    0.276546  0.358121     0.304625  0.436827  0.422910  0.318277  0.321141  0.430791    0.426649  0.301939  0.261668     0.510237  0.315096  0.420186       0.569838  0.335990  0.398099  0.395295  0.481514
6   0.658264    0.512399  0.685478     0.390020  0.418474  0.652017  0.278331  0.383613  0.498162    0.465392  0.354789  0.351229     0.451922  0.381875  0.556505       0.405811  0.350349  0.286265  0.523033  0.579200
7   0.504689    0.310966  0.548065     0.397476  0.554222  0.399409  0.287873  0.484252  0.488674    0.600383  0.535764  0.147816     0.538345  0.037494  0.420694       0.540108  0.329240  0.285202  0.507054  0.357114
8   0.545785    0.407148  0.447204     0.192539  0.245434  0.320956  0.457387  0.417759  0.666265    0.453381  0.254560  0.506834     0.356530  0.381092  0.477505       0.493269  0.184177  0.465767  0.452166  0.340532
9   0.496091    0.229889  0.623439     0.401075  0.242746  0.549118  0.289303  0.356240  0.407245    0.530163  0.347841  0.340712     0.548170  0.404395  0.451938       0.375917  0.193959  0.475275  0.450671  0.644619
10  0.285657    0.381107  0.471956     0.299847  0.217045  0.636375  0.196174  0.324123  0.352862    0.452740  0.452085  0.144897     0.561661  0.171382  0.641106       0.407487  0.275060  0.486022  0.483037  0.549070
11  0.394712    0.246777  0.409375     0.306015  0.462499  0.459323  0.813352  0.550391  0.383072    0.522549  0.473168  0.350256     0.366076  0.563181  0.203537       0.261881  0.249260  0.522621  0.479046  0.317970
12  0.429830    0.328569  0.459721     0.271753  0.328291  0.598353  0.351970  0.191334  0.385831    0.652198  0.392819  0.316244     0.340580  0.927428  0.350564       0.242346  0.364534  0.391291  0.412049  0.374922
13  0.434446    0.383120  0.399602     0.295742  0.938214  0.479077  0.920877  0.632024  0.813014    0.614427  0.294547  0.223004     0.417153  0.293389  0.606896       0.476433  0.313579  0.466757  0.415691  0.311442
14  0.079131    0.350764  0.458757     0.285750  0.370295  0.336785  0.306967  0.353535  0.364140    0.544585  0.534025  0.383135     0.668542  0.402689  0.525545       0.357202  0.229380  0.417024  0.371150  0.519952
15  0.374287    0.348414  0.374475     0.207779  0.311351  0.541073  0.372628  0.512567  0.394833    0.555871  0.407576  0.311811     0.430072  0.365754  0.325838       0.518107  0.370107  0.512892  0.519133  0.468412
16  0.426791    0.516831  0.556188     0.407894  0.367022  0.576764  0.423370  0.474579  0.659665    0.511305  0.472383  0.522662     0.433748  0.186253  0.553591       0.457709  0.273264  0.372080  0.550298  0.288189
17  0.424810    0.376642  0.549615     0.295254  0.557387  0.449493  0.383299  0.528871  0.377526    0.549859  0.264041  0.400105     0.496897  0.025084  0.554700       0.940465  0.273119  0.321417  0.558114  0.452942
18  0.383503    0.138970  0.311488     0.296279  0.417274  0.634003  0.449975  0.295637  0.395643    0.482874  0.436106  0.479543     0.440538  0.490909  0.552165       0.359507  0.477267  0.439619  0.310276  0.400696
19  0.331633    0.231488  0.586801     0.256877  0.443819  0.426838  0.350663  0.576162  0.446862    0.602968  0.463206  0.171079     0.583359  0.909365  0.191207       0.498448  0.249105  0.467230  0.468783  0.510415
20  0.501209    0.373815  0.809533     0.356162  0.420085  0.405235  0.439968  0.569118  0.555706    0.491627  0.563101  0.315194     0.488618  0.879174  0.594300       0.429753  0.307166  0.238017  0.433597  0.482040
21  0.648228    0.508613  0.451265     0.304369  0.280246  0.353332  0.232981  0.462978  0.423509    0.403155  0.361074  0.123027     0.357379  0.374985  0.469209       0.532261  0.167333  0.498445  0.346237  0.483757
22  0.279609    0.347225  0.415349     0.267546  0.306972  0.309543  0.485490  0.512029  0.459440    0.507666  0.290938  0.328663     0.308219  0.540953  0.209492       0.282751  0.280677  0.373319  0.425887  0.612324
23  0.533684    0.504460  0.379596     0.404289  0.309430  0.561668  0.398533  0.352939  0.467910    0.365472  0.500012  0.330038     0.390816  0.067429  0.503548       0.465478  0.162345  0.400706  0.510557  0.438034
24  0.480074    0.333208  0.499439     0.417791  0.295877  0.561811  0.404297  0.321746  0.439100    0.387780  0.474864  0.280273     0.665325  0.288412  0.551371       0.434891  0.349935  0.419717  0.330319  0.366596
25  0.445943    0.293168  0.487173     0.345616  0.186067  0.527518  0.361289  0.391065  0.615643    0.495548  0.484199  0.466647     0.363902  0.082864  0.415182       0.346190  0.349809  0.521711  0.335259  0.269455
26  0.406508    0.123455  0.248725     0.405370  0.296128  0.563448  0.372247  0.325141  0.509829    0.633952  0.511385  0.553930     0.530967  0.401724  0.532367       0.489820  0.356209  0.480459  0.452179  0.334591
